Country,State,city,place,Pollutants
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",PM2.5
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",PM10
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",NO2
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",NH3
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",SO2
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",CO
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",OZONE
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",PM2.5
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",PM10
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",NO2
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",NH3
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",SO2
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",CO
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",OZONE
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",PM2.5
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",PM10
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",NO2
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",NH3
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",SO2
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",CO
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",OZONE
India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",PM2.5
India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",PM10
India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",NO2
India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",NH3
India,Andhra_Pradesh,Vijayawada,"PWD Grounds, Vijayawada - APPCB",SO2
